Video ID,User ID,Comment,Comment_Length,Word_Count,VADER_Score,VADER_Sentiment,TextBlob_Score,TextBlob_Sentiment,BERT_Sentiment,BERT_Score
DW,UCL-RSGHbhSMWqF4Y7yaT0zA,"No debate - this is a salute that is currently illegal in Germany. I had a teacher that did this salute, and I didn’t believe it. Lots of my classmates would say no way &amp; not in this time, but tbh evil often happens in mundane ways. This teacher later got fired for that gesture.",283,55,Negative,-0.9477,Negative,-0.4166666666666667,NEGATIVE,0.9992801547050476
MSNBC,UCJNmiNMJITWxCAXFzYnnLXg,"Wow one side, and untruthful “reporting “",41,7,Positive,0.5859,Positive,0.1,NEGATIVE,0.9458281993865967
DW,UClO42V0HSqc0pG03_8lBtlQ,No watch the whole context of video.,36,7,Negative,-0.296,Positive,0.2,NEGATIVE,0.9945536851882935
DW,UCIY_7dx4Wm5_aKH9RUu2WxA,"He boasted to Joe Rogan he was a top video game player, that was a lie , robbed 150 Million from twitter share holders alleged in an SEC case, and sprayed toxic space flight seven debris all over the oceans off the Florida coast prompting the FAA to ground space ex operations pending investigations and safety compliance measures, He&#39;s been interviewing AfD candidate Alice Weidel, He has expressed ideas about H1B Visas and birth rate decline, he&#39;s admitted to drug use in a Don Lemon interview, he&#39;s unjustly fired 6,000 tesla employees, equally Twitter employees were not given proper notice. Added all together. I don&#39;t think he was just saying hello to an audience.",687,114,Positive,0.3818,Negative,-0.016666666666666673,NEGATIVE,0.9935546517372131
DW,UCX2YUVmc08tmuX9r7y0QBzw,"“There’s only one person who knows if that was a fascist salute”… <br>Idk, maybe ask some people who survived the Third Reich?",126,22,Negative,-0.0772,Neutral,0.0,NEGATIVE,0.9989016056060791
DW,UCj58lIZsPexEMU_YOoLuuxA,"If you look closely, he was simply demonstrating that from his heart to the audience.",85,15,Neutral,0.0,Neutral,0.0,POSITIVE,0.9997789263725281
MSNBC,UCTDlv6z0NYhyyeBqNcCiX6g,Crafted for the ambitious. $X.AI50,34,5,Positive,0.4767,Positive,0.25,POSITIVE,0.8670028448104858
DW,UCfV-MyC25svytVzSTJtxQcw,This is an example of why the main stream media is dying. He was thanking the audience with all his heart for the support he had received. Hand went from his heart to the audience. If this is suppose to be news then the MSM no longer interested in news.,253,50,Positive,0.7506,Positive,0.20833333333333331,NEGATIVE,0.9853305816650391
DW,UCpgq5A6v4iVfg2wNjbRo0NQ,scottish accent,15,2,Neutral,0.0,Neutral,0.0,POSITIVE,0.995093584060669
DW,UCGz9ywTi1CrlApFhAKwZ70A,I guess everyone ignores the fact he grabbed at his heart and threw it out to the crowd ..saying my heart gos out to you ...sorry it looks similar to your negative narrative.,174,33,Negative,-0.7003,Negative,-0.15,NEGATIVE,0.9987271428108215
MSNBC,UCwWaitE0cR8Kqd6JidW4_vg,This news is a hot mess. 😂,26,7,Negative,-0.3612,Positive,0.037500000000000006,NEGATIVE,0.9998034834861755
Guardian_News,UCoBC9CHC7PZFIJMWzxsV_xw,&#39;Appears&#39;,17,1,Neutral,0.0,Neutral,0.0,POSITIVE,0.9113532304763794
DW,UCU46m2-m5keyY3051M6lVdg,&quot;gesture&quot; &quot;resembling&quot;. There is no debate. He did it.,74,9,Negative,-0.296,Neutral,0.0,NEGATIVE,0.973568856716156
DW,UCYQpvmy4tGuLSNMQXUK6xqg,"Elon , why are you saluting like that?❤❤",40,8,Positive,0.3612,Neutral,0.0,NEGATIVE,0.9964646100997925
DW,UCZ5i4ZjCoOJ0Sggjva6QdtA,This immigrant has purchased the USA government for a little over $250 million. Money can buy anyone.,101,17,Neutral,0.0,Negative,-0.1875,NEGATIVE,0.8966630101203918
DW,UCK-yvQwVvssaVgn6-6p6ZBA,Democrats have been saying this for years.😂,43,7,Neutral,0.0,Neutral,0.0,NEGATIVE,0.9022164940834045
Guardian_News,UCJ7GyPy7mw8TrHTZ34DvTEQ,Hail Musk! 👌🏻,13,3,Positive,0.1511,Neutral,0.0,POSITIVE,0.998747706413269
DW,UC8BnLISTjGRD5L5BTAzz1aA,This is a Roman salute.,23,5,Neutral,0.0,Neutral,0.0,POSITIVE,0.9988481998443604
DW,UCYUQBu3Ef5qgWksKOA0iPjg,It looks to me like he was gesturing that his heart is open and going out to the people,87,19,Positive,0.3612,Neutral,0.0,POSITIVE,0.9985595345497131
DW,UCMI0PkeorH1xbHSeUO2ZmUA,"It&#39;s not illegal...that will be his defense of this and nearly everything that falls out of his mouth. It&#39;s a 14 year old saying, you can&#39;t arrest me, I&#39;m a child etc.",183,32,Negative,-0.2263,Positive,0.05000000000000001,NEGATIVE,0.9004833102226257
